Topic,Count,Name,Representation,Representative_Docs
-1,5511,-1_国_大臣_日本_中,"['国', '大臣', '日本', '中', '御', '問題', '省', '法', '庁', '国民']","['と同時にこの国際状況の変化というものをあわせて考える中で内閣総理大臣として就任し責任を持った立場で今の状況を考えた中でただいま申し上げましたように在日米軍の抑止力は安全保障上の観点から極めて重要だという認識を持っていることを改めて申し上げたいこのように思っております', 'その一方でこれまでの議論の中でそうではなくて日米安保自衛隊の存在というものが日本の平和というものを守ってきたんだという御意見これも否定するものではございません', '安全保障上の問題があるということをアメリカは言っておるということもまさに大臣がおっしゃったとおり同盟国に対して安全保障上の問題があるということに対してのそうした表明というのはいかがなものかということを思うわけであります']"
0,2301,0_日本_国_中_国民,"['日本', '国', '中', '国民', '大臣', '問題', '御', '庁', '状況', '性']","['もう一つは防衛庁がやはり安全保障を考える政策官庁として問題意識を持ってそして日本の安全を守るための戦略について国民の皆さんの間で議論がなされていくそして共通の認識を持っていくそういう形をつくっていくことであろうというふうに思っております', '何点かあるんですけれどもこういう大きな議論をしていく中でも防衛省の信頼がなければ何を言っても国民の皆さんからは支持を得られないわけであります', 'その上で政府としては国国民の安全そして平和を守り繁栄を守るという安全保障の責務をしっかりと果たしていかなければいけないということで日本国憲法のもと他国に脅威を与えるような軍事大国にならないという基本理念を持ちつつみずからの防衛力の整備そして日米安保体制に基づく抑止力のもとで国の安全を確保していくこういう政策をとっているわけでありますが同時に今お話がありましたように我が国の平和と豊かさというのは世界の平和と繁栄というものの中でこそ実現が可能だシンクロしているというふうに考えるべきだというお話はまさにそのとおりだろうこういうふうに考えております']"
1,673,1_法_日本_問題_自民,"['法', '日本', '問題', '自民', '案', 'アメリカ', '基地', '米軍', '項', '大臣']","['先週の審査会では国民民主党の玉木委員より自民党のたたき台素案の説明は憲法学者が違憲だと言っている教科書に違憲論がある共産党さんだと思うが国政政党が違憲だと言っているなど自衛隊違憲論の解消が主たるものとなっているがそのような消極的な目的は憲法改正を主張する理由として弱くまた自衛権の行使の範囲を解釈に委ねている以上戦力不保持を定めた九条二項との永遠の解釈論争を改正後も引きずるのではないかこのような御指摘をいただきました', '第三の問題は政府がこれまでの憲法解釈を大転換して日本がどこからも攻撃されていないのに集団的自衛権を発動してアメリカとともに海外での武力行使に乗り出すという問題であります', '本法案は従来の防衛省・自衛隊の体制を大きく変更するものですがこれはアメリカが世界で進める米軍再編方針に沿って米軍と自衛隊の軍事一体化を推し進めるものにほかなりません']"
2,571,2_環境_国_課題_同盟,"['環境', '国', '課題', '同盟', '国際', '地域', '体制', '中', '化', 'アジア']","['いずれにしろ我が国を取り巻く安全保障の環境というのはやはり大きく変化しているんじゃないでしょうか', 'このような安全保障環境の変化に対応するために我が国は適切な防衛力の整備に努め日米安全保障体制を堅持するとともに我が国を取り巻く国際環境の安定を確保するための外交努力や国際平和協力を推進するという基本政策を堅持していく考えです', '安全保障環境が激変する中でもはやどの国も一国のみで平和を守ることはできません']"
3,524,3_財源_省_年度_御,"['財源', '省', '年度', '御', '庁', '国民', '予算', '円', '施設', '収入']","['具体的に申し上げますと令和九年度以降の毎年度において防衛財源として歳出改革で一兆円強決算剰余金の活用で〇・七兆円程度税外収入は防衛力強化資金の活用により〇・九兆円程度税制措置で一兆円強これを確保することとしておりましてあらゆる行財政改革を行うことでこれらの財源を確実に捻出できるよう努力してまいりたいと考えております', 'その後年度負担額に係る歳出を含め令和九年度以降防衛力の維持強化を安定的に支えるためには裏づけとなる毎年度約四兆円の財源が不可欠でありその財源確保に当たりましては歳出改革決算剰余金の活用更なる税外収入の確保といった上で防衛力強化資金の活用により必要な財源の四分の三を確保しそれでも足らない四分の一について税制措置で御協力をお願いしたいと考えております', 'その後年度負担額に係る歳出を含め令和九年度以降防衛力の維持強化を安定的に支えるためには裏づけとなる毎年度約四兆円の財源が不可欠でありその財源確保に当たりましては歳出改革決算剰余金の活用更なる税外収入の確保といった上で防衛力強化資金の活用により必要な財源の四分の三を確保しそれでも足らない四分の一について税制措置で御協力をお願いしたいと考えております']"
4,282,4_場合_国_要件_法,"['場合', '国', '要件', '法', '最小', '目的', '第', '大臣', '限度', '行為']","['その上で個別的自衛権の行使としても敵基地攻撃することは想定していない中でましてや我が国に対する武力攻撃が発生していない中で限定的な集団的自衛権の行使として敵基地攻撃を行うことはそもそも想定をしておらず新三要件の下において第三要件の自衛のための必要最小限度を超えてはならないことに関しては存立危機事態については自衛隊法八十八条二項をそのまま維持するとともに事態対処法改正案第三条第四項において存立危機武力攻撃を排除するに当たっては武力の行使は事態に応じ合理的に必要と判断される限度においてなされなければならないとの規定を設けており引き続き法文上明確に担保していると', 'この新三要件のもとで認められる武力行使のうち国際法上は集団的自衛権として違法性が阻却されるものは他国を防衛するための武力行使ではなくあくまでも我が国を防衛するためのやむを得ない必要最小限度の自衛の措置にとどまるものでございます', '一つは我が国と密接な関係にある他国に対する武力攻撃が発生しこれにより我が国の存立が脅かされ国民の生命自由及び幸福追求の権利が根底から覆される明白な危険がある場合においてこれを排除し我が国の存立を全うし国民を守るためにほかに手段がないときそして三つ目は必要最小限度の実力を行使するということを満たす場合に対応するということでありましていずれも我が国と密接な関係にある他国への武力攻撃の発生が大前提でありまして他国を防衛すること自体を目的とすることではありませんがあくまでも我が国を防衛する専守防衛を維持するという観点は維持してまいっております']"
5,66,5_国_専守_主義_国民,"['国', '専守', '主義', '国民', '任務', '正々', '点', '内閣', '職務', '精神']","['戦後七十年間にわたり日本が培った平和主義を堅持し専守防衛に徹しながらも仮に安全保障を取り巻く環境が変化をし憲法九条に足りない点改めるべき点があるのなら正々堂々とこの審査会において提案し議論するべきです', '自衛隊が我が国の防衛という任務を適切に遂行いたしますためには国民の理解と協力を欠かすことはできません', '一方九条二項は我が国独自の徹底した平和主義や専守防衛の精神を表したものであり今後も大切にしていくべきものと考えております']"
6,27,6_北朝鮮_ミサイル_弾道_脅威,"['北朝鮮', 'ミサイル', '弾道', '脅威', '国', '行為', '地域', '核', '実験', '可逆']","['北朝鮮による先般の核実験はたび重なる弾道ミサイルの発射と相まって我が国を含む地域及び国際社会の平和と安全を損なう安全保障上の重大な挑発であると認識しております', 'また北朝鮮の核及びミサイル開発は我が国の安全保障上の脅威であり北朝鮮に対しては挑発的行為を繰り返さないよう強く求めてまいります', 'また北朝鮮の核及びミサイル開発は我が国の安全保障上の脅威であり北朝鮮に対しては挑発的行為を繰り返さないよう強く求めてまいります']"
7,24,7_費_一定_財源_維新,"['費', '一定', '財源', '維新', '使い道', '国民', '自体', '野党', '国債', '身']","['私たちも防衛費の増額について一定の理解を持っております', '五年経過後の防衛費についても申し上げたいと思います', 'このため防衛費を更に増やすとは必ずしも言えないものと考えております']"
8,21,8_西ドイツ_ｎａｔｏ_一環_エネルギー,"['西ドイツ', 'ｎａｔｏ', '一環', 'エネルギー', '最大', '国家', '化', '部分', '食料', '政策']","['西ドイツという国家の安全保障をＮＡＴＯと一体化することによって確保してきたと言えるのではないかというふうに思います', '西ドイツという国家の安全保障をＮＡＴＯと一体化することによって確保してきたと言えるのではないかというふうに思います', '西ドイツという国家の安全保障をＮＡＴＯと一体化することによって確保してきたと言えるのではないかというふうに思います']"
