Topic,Count,Name,Representation,Representative_Docs
-1,391,-1_事故_年_力_日本,"['事故', '年', '力', '日本', '性', '福島', '国民', '国', '賠償', 'わけ']","['ただ極端な話をするとではもしこの原子力発電所が何らかの理由で建たなくなった例えば二年あるいは三年先に原子炉の設置の審査の過程でつくれないことになったあるいはもうそういうエネルギー需要がなくなったあるいはどこかで大きな事故が起こったそんなときにでももう埋め立ては始まってやってしまいました上関の自然は壊されてしまいましたというのは何とも合理性を欠くんじゃないかと私は思っています', '特に福島第一原発事故の後はそうなっていると思う', '一つは法目的にある「原子力災害」は国による原発推進政策と東京電力福島第一発電所の事故によって引き起こされたものであり事故を引き起こした国と東京電力の責任を明確にするべきです']"
0,551,0_問題_中_力_本当,"['問題', '中', '力', '本当', 'ふう', 'わけ', '事故', '話', '大臣', '法']","['原子力の問題は今本当にいろいろな議論が進んでいるのはわかります', '私がどうしても納得いかないのは原発がこれだけ東京電力福島第一原発事故もありました問題が本当に大きくてコストも決して安くはないそれからバックエンドの問題使用済み核燃料の問題なども含めれば本当に将来にもツケを残すもので例えば地震大国と言われている皆様がお持ちの原発だって本当に安全だと言えるのかどうか今さまざまな安全設備もお金をかけて増強しなきゃいけないという状況の中でこの原発の合理性というのが本当に問われているというふうに思うんです', '私がどうしても納得いかないのは原発がこれだけ東京電力福島第一原発事故もありました問題が本当に大きくてコストも決して安くはないそれからバックエンドの問題使用済み核燃料の問題なども含めれば本当に将来にもツケを残すもので例えば地震大国と言われている皆様がお持ちの原発だって本当に安全だと言えるのかどうか今さまざまな安全設備もお金をかけて増強しなきゃいけないという状況の中でこの原発の合理性というのが本当に問われているというふうに思うんです']"
1,233,1_事故_エネルギー_力_国民,"['事故', 'エネルギー', '力', '国民', '第', '国', '大', '責任', '福島', '東京']","['オリンピックは国際親善とスポーツの発展にとって大変意義深いものという認識を明らかにした上で東京招致の目的がオリンピックを利用して大規模な東京開発を進めるものであること今国と都が力を注ぐべきは大震災原発事故からの復興であり国民都民の暮らし社会保障を立て直すことにあるということを指摘して決議に反対をいたしました', '東京電力福島第一原発事故に全く反省のない原発再稼働や新増設は国民の願いとかけ離れており厳しく批判するものです', '東京電力福島第一原発事故に全く反省のない原発再稼働や新増設は国民の願いとかけ離れており厳しく批判するものです']"
2,83,2_声_中_世界_政府,"['声', '中', '世界', '政府', '極論', '基', '頭', '経営', '2', '企業']","['だからこそ全基廃炉それはもう福島の声なんですね', 'こうなりますとこれはもう福島の声としては福島県内の原発十基というものは動かしてもらっちゃ困るこれはやはり廃炉という声がずっとどこでも出てくるのは当然のことだと思うんですね', 'こうなりますとこれはもう福島の声としては福島県内の原発十基というものは動かしてもらっちゃ困るこれはやはり廃炉という声がずっとどこでも出てくるのは当然のことだと思うんですね']"
3,25,3_長_力_田_更,"['長', '力', '田', '更', '当時', '現実', '機構', '神話', '会', '保安']","['それに対してさすがに寺坂信昭原子力安全・保安院長も当時の認識に甘さがあった深く反省していると述べ当時の原子力安全委員長であった鈴木篤之原子力研究開発機構理事長も「私自身痛恨のきわみ」「このような事故が現実に発生した以上過去のことが正しかったということはない」と答弁をいたしました', 'それに対してさすがに寺坂信昭原子力安全・保安院長も当時の認識に甘さがあった深く反省していると述べ当時の原子力安全委員長であった鈴木篤之原子力研究開発機構理事長も「私自身痛恨のきわみ」「このような事故が現実に発生した以上過去のことが正しかったということはない」と答弁をいたしました', 'それに対してさすがに寺坂信昭原子力安全・保安院長も当時の認識に甘さがあった深く反省していると述べ当時の原子力安全委員長であった鈴木篤之原子力研究開発機構理事長も「私自身痛恨のきわみ」「このような事故が現実に発生した以上過去のことが正しかったということはない」と答弁をいたしました']"
4,18,4_法_案_一気_前回,"['法', '案', '一気', '前回', '回帰', 'イエス', 'はず', '与党', 'ノー', '審議']","['私は前回も指摘しましたけれども原発回帰を国が進めようとしていてその法整備を一気にやってしまおうそれが今回の束ね法案ですよ', '私は前回も指摘しましたけれども原発回帰を国が進めようとしていてその法整備を一気にやってしまおうそれが今回の束ね法案ですよ', '私は前回も指摘しましたけれども原発回帰を国が進めようとしていてその法整備を一気にやってしまおうそれが今回の束ね法案ですよ']"
5,18,5_情報_政治_秘密_物的,"['情報', '政治', '秘密', '物的', '火力', '石炭', '活動', '資源', 'ごみ', 'ロシア']","['したがってＴＰＰに関する情報も原発に関する情報も秘密指定できることになるのではありませんか', '再稼働のための活動は中止し放射能汚染水問題の解決のために持てる人的物的資源を集中すべきではありませんか', '再稼働のための活動は中止し放射能汚染水問題の解決のために持てる人的物的資源を集中すべきではありませんか']"
6,14,6_被害_福島_第_事故,"['被害', '福島', '第', '事故', '汚染', '復旧', '労災', '大津', '増加', '途上']","['しかし地震津波原子力災害という甚大かつ深刻な被害が広範囲に及んでいる被災地では再び悲惨な津波被害を繰り返さないため高台移転やかさ上げなどによる安全な住まいと仕事場の確保農地や漁港の復旧新たな事業起こしや雇用対策など既存の制度の枠を超えた特例や財政支援が求められるのは言うまでもありません', '多くの人命を奪い甚大な被害をもたらし深刻な原子力事故につながった東日本大震災の大津波被害については今なお懸命な捜索活動が続くなど復旧復興の途上でありその検証は今後の課題となっています', '多くの人命を奪い甚大な被害をもたらし深刻な原子力事故につながった東日本大震災の大津波被害については今なお懸命な捜索活動が続くなど復旧復興の途上でありその検証は今後の課題となっています']"
7,12,7_右_モラル_国策_気,"['右', 'モラル', '国策', '気', '五千', '寝入り', '民営', '億', '姿勢', '話']","['その右原発輸出も見ていただきたいんですけれどもこれも恥ずかしい話なんですけれども日本人のモラルというのはだんだん悪くなっているんじゃないかなという気が僕はする', 'その右原発輸出も見ていただきたいんですけれどもこれも恥ずかしい話なんですけれども日本人のモラルというのはだんだん悪くなっているんじゃないかなという気が僕はする', 'その右原発輸出も見ていただきたいんですけれどもこれも恥ずかしい話なんですけれども日本人のモラルというのはだんだん悪くなっているんじゃないかなという気が僕はする']"
8,12,8_口_脱_増殖_高速,"['口', '脱', '増殖', '高速', '総理', 'なし', '自由', '炉', '化', '電力']","['しかし脱原発を言う以上高速増殖炉は要りませんね', 'しかし脱原発を言う以上高速増殖炉は要りませんね', 'しかし脱原発を言う以上高速増殖炉は要りませんね']"
