Topic,Count,Name,Representation,Representative_Docs
-1,3563,-1_国務大臣_岸田文雄君_小野寺五典君_稲田朋美君,"['国務大臣', '岸田文雄君', '小野寺五典君', '稲田朋美君', '河野太郎君', '浜田靖一君', '内閣総理大臣', 'ヘルス', 'ど省', '経済待っ課題新資本主義重要柱']","['積極的平和主義具体的中身今御議論りエネルギー環境問題対応含ま人道支援ど人間促進ユニバーサル・ヘルス・カバレッジ開発援助協力軍縮・不拡散推進海洋法支配強化女性権利含む人権擁護こまざまグローバル課題あゆる外交努力積極的平和主義中含まる認識り', '我国取り巻く環境一層厳増す中我国外交・基軸る日米同盟強化不可欠', 'こ中我国人間考下引続国際保健外交柱一捉ユニバーサル・ヘルス・カバレッジ達成向け取り組まり考り']"
0,467,0_浜田靖一君_発言者_当然省_政府委員,"['浜田靖一君', '発言者', '当然省', '政府委員', '浜田', '国務大臣', '林芳正君', '当然最新装備っ員っり国守そ思新装備入る当然思', '当時稲田大臣探索指示出わ不十分どり省', '恐くロシアそわっろ思ぜそ繰り返提起まざま考方あろ思日本憲法ロシアよく承知り日本専守考方ロシアよく理解ふ思繰り返そ問題提起日本考日本立場っり説明努めまり思']","['辻元委員靖国行くべ御指摘……（発言者）式典行くべふっゃまあ大臣今靖国行く貫ほ言っ理解', '○国務大臣（浜田靖一君）人事監督権ござ総理人事監督権思っり中今回むみくす今回田母神幕僚長取っ立場考ど政府見解違考当然す今こ形懲戒処分当然……（発言者）どすっり長くままどまっく今後員ろろ士気影響考そ部分勘案思っり決該当ふ思っり', '○国務大臣（林芳正君）今委員っゃっ全く違和感わけござま同盟先紹介ま国家戦略英訳ござ「MaintainandDevelopaFreeandOpenInternationalOrderandStrengthenTieswithitsAlly,Like-mindedCountriesandOthers」こま同盟国ライク・マインデッド・カントリーズアザーズこ記述英語りま同盟国場合日米同盟っり同盟合意担保条約通常互上義務負こ思次出くるござまじゃ定義ま委員っゃる余りちちり線引中外こふまっぱりろ外交っく上余りプラス思まこ人ちライクマインデッドるべく最近よく使わる言葉インクルーシブ概念るべく広く例わゆるグローバルサウスアプローチ一緒じゃこふ言っくそ意味使っく方戦略的有用ふ感じり']"
1,194,1_稲田国務大臣一般諸外国軍隊訓練行当っ戦術技量向上相手方協力深化我方ニーズ満す重要_力強化シーレーン確保サプライチェーン維持抑止力強化市場攪乱リスク低減ど円滑経済活動直接資面多く御理解考り_上現下環境踏ま核抑止力含む米国拡大抑止信頼性維持強化く不可欠考り_あゆる事態即応抑止力対処力強化日米強固意思連携示す我国地域平和安全確保寄与まり,"['稲田国務大臣一般諸外国軍隊訓練行当っ戦術技量向上相手方協力深化我方ニーズ満す重要', '力強化シーレーン確保サプライチェーン維持抑止力強化市場攪乱リスク低減ど円滑経済活動直接資面多く御理解考り', '上現下環境踏ま核抑止力含む米国拡大抑止信頼性維持強化く不可欠考り', 'あゆる事態即応抑止力対処力強化日米強固意思連携示す我国地域平和安全確保寄与まり', '我国取り巻く環境厳増す中政府我国平和安全確保国民安全安心確保万全期すべく引続米国緊密連携日米同盟抑止力対処力っり維持まり思', '当該意見書政府対アジア太平洋地域緊張強め沖縄再び戦場るる南西地域ミサイル配備ど抑止く外交対話平和構築積極的役割果す等要請承知り', '引続我国み力充実当然努力けけま日米同盟基盤抑止力維持ま今後重要性変わ認識', '我国力強化日米同盟一層強化く不可欠', '外務大臣我国取り巻く環境一層厳増す中対話進めく両国信頼関係増進日ロ関係全体底上げ図る地域平和安定資我国確保る考り', '我国力抜本的強化日米同盟抑止力対処力更強化武力攻撃発生可能性低下ふ考']","['力強化シーレーン確保サプライチェーン維持抑止力強化市場攪乱リスク低減ど円滑経済活動直接資面多く御理解考り', '上現下環境踏ま核抑止力含む米国拡大抑止信頼性維持強化く不可欠考り', '○稲田国務大臣一般諸外国軍隊訓練行当っ戦術技量向上相手方協力深化我方ニーズ満す重要']"
2,120,2_日本日本国民守る最後りっり国守る戦る努力引続先頭立っ確実進めまり_あく我国まま見逃す我国上我国国民生命財産大影響可能性高ど議論例っリスク実むろリスク高まるそ今回例ふ理解確バランス大切思ま問題スタートよくど認識考り_高める意味っり位置づける大切思っ_基本的考方厳環境中刻々変化状況中国民命暮守る政府べこっ検討不断行っくべ考,"['日本日本国民守る最後りっり国守る戦る努力引続先頭立っ確実進めまり', 'あく我国まま見逃す我国上我国国民生命財産大影響可能性高ど議論例っリスク実むろリスク高まるそ今回例ふ理解確バランス大切思ま問題スタートよくど認識考り', '高める意味っり位置づける大切思っ', '基本的考方厳環境中刻々変化状況中国民命暮守る政府べこっ検討不断行っくべ考', '基本的省', '外務大臣っゃっ人間ｐｋｏ活動日本発信力く法支配貫徹く', '変化対応同時力けく社会変化経済変化こっり向合っく先送り課題一一向合っく必要考政治臨', '大く変化初め戦略環境中り基本的価値基本的利益共有国々っり連携く重要考り', '大切ａｓｅａｎ国一分野交流っり進め思っり', '基本的沖縄一生懸命努力省一体積み上げアメリカ理解示くわけ八千人グアム移転思ね']","['こ政策我国外交・っ大変重要政策認識り', '省・日本日本国民守る最後りっり国守る戦る努力引続先頭立っ確実進めまり', '省・日本日本国民守る最後りっり国守る戦る努力引続先頭立っ確実進めまり']"
3,111,3_こ中重要影響事態各種事態際米軍以外事態拡大抑制収拾図る活動外国軍隊物品役務提供含む必要支援活動行極め重要考り_小野寺国務大臣今回改正案邦人輸送緊急事態邦人輸送安全実施可能場合行り治安創出邦人救出奪還想定ま_際例今話混乱中対応一義的現地当局対応り状況必要場合自身呼びけ制止等対応行排除思っり_海上艦艇同士必要応じ補給等支援行艦艇与任務適切効率的実施当然海上警備行動派遣る護衛艦給油等必要際近傍海域補給支援活動行補給艦補給支援活動支障生じ範囲当該護衛艦給油等行問題考,"['こ中重要影響事態各種事態際米軍以外事態拡大抑制収拾図る活動外国軍隊物品役務提供含む必要支援活動行極め重要考り', '小野寺国務大臣今回改正案邦人輸送緊急事態邦人輸送安全実施可能場合行り治安創出邦人救出奪還想定ま', '際例今話混乱中対応一義的現地当局対応り状況必要場合自身呼びけ制止等対応行排除思っり', '海上艦艇同士必要応じ補給等支援行艦艇与任務適切効率的実施当然海上警備行動派遣る護衛艦給油等必要際近傍海域補給支援活動行補給艦補給支援活動支障生じ範囲当該護衛艦給油等行問題考', '浜田国務大臣誘導弾射程距離明す我国具体的能力明る上控るべ答御理解思', '浜田国務大臣基本的今回海上警備行動命令り海上命令出わけござま意味海上艦艇同士必要応じ補給支援行艦艇与任務適切効率的実施当然ござま海上警備行動派遣る護衛艦給油等必要際近傍海域補給支援活動行補給艦補給支援活動支障生じ範囲当該護衛艦給油等行問題考ござ', '浜田国務大臣今回海上派遣まソマリア沖海賊事案多発急増り日本国民人命財産緊急保護必要新法整備応急措置海上警備行動発令御指摘国連安保理決議要請応じ派遣ふ考り', '浜田国務大臣今先生っゃっりござま今回海上派遣まソマリア沖海賊事案多発急増っ日本国民人命財産緊急保護必要新法整備応急措置海上警備行動発令っ国連安保理決議要請応じ派遣決定ふ言る思', '派遣る地域員授与る賞じゅ金最高額異る派遣る地域任務特殊性困難性危険性ど総合的判断賞じゅ金最高額定める理解り', '法第八十条基づく武力攻撃事態大臣海上保安庁統制要領既作成向け作業実施り引続作業進める共同訓練検証ふ考り']","['オペレーション・センチネル情報収集活動オマーン湾アラビア海北部重り日本日本船籍日本関係船舶航行安全必要情報収集ろＩＭＳＣ海域まダブっ問題ふ思っり', '上装備品等提供予断持っ答困難御理解思省・今後可能限り支援行っまり考り', '御質問護衛範囲変更又活動区域変更ろ思けど本法案ソマリア海賊活動海域ソマリア沖・アデン湾オマーン沖アラビア沖広く拡散踏まこ状況効果的対応すべく諸外国行わ民間武装警備員乗船日本船舶認める承知上こっ踏ま法案成立後アデン湾極め重要海上交通路海賊脅威高海域海運業界日本船主協会要望等踏ま省ま海賊対処実施諸外国部隊含む国際社会連携引続ソマリア沖・アデン湾海賊対処行動確実実施必要考り活動区域変更考りま']"
4,101,4_上本件現職自衛官原告存立危機事態出動命令服従義務確認求める訴訟命令従わっ理由懲戒処分受ける予防訴訟目的_国際法上個別的自衛権っり区別承知りけど我国独自個別的自衛権拡張論展開国際法上問題ま国際社会理解得ふ考りけど点ま外務大臣聞思_行使前提他国武力攻撃発生存在わけっ先制攻撃当考_我国進国連憲章趣旨反個別的濫用惹起すべ考,"['上本件現職自衛官原告存立危機事態出動命令服従義務確認求める訴訟命令従わっ理由懲戒処分受ける予防訴訟目的', '国際法上個別的自衛権っり区別承知りけど我国独自個別的自衛権拡張論展開国際法上問題ま国際社会理解得ふ考りけど点ま外務大臣聞思', '行使前提他国武力攻撃発生存在わけっ先制攻撃当考', '我国進国連憲章趣旨反個別的濫用惹起すべ考', '国際法上ま要請同意必要性均衡性こ要件下概念認め実際運用行使ぞ国判断る思っ', '我国実力行使法的根拠個別具体的状況即判断必要国会答弁等我国武力攻撃ま発生状況下我国個別的自衛権基づ武力行使例今御指摘ま米艦防護憲法上許る事例ま我国領域内存在米艦武力攻撃場合一我国出動公海上米艦攻撃我国武力攻撃該当認める場合場合限るふ思っり', '通常限定個別的自衛権こっ形国際法上違法性阻却るる考', '我国場合我国行使る場合我国密接関係他国武力攻撃発生足り', '我国国際社会認め中憲法関係憲法要請一部分限定的行使考方示国際的考方矛盾考', '御指摘事例個別的自衛権対応る特定状況極め例外的場合我国必要状況下常個別的自衛権対応可能わけこっ趣旨思']","['上本件現職自衛官原告存立危機事態出動命令服従義務確認求める訴訟命令従わっ理由懲戒処分受ける予防訴訟目的', '上本件現職自衛官原告存立危機事態出動命令服従義務確認求める訴訟命令従わっ理由懲戒処分受ける予防訴訟目的', '○岸田国務大臣資料三国際法上定義記載「自国密接関係外国武力攻撃自国直接攻撃わ実力阻止権利」記述ま政府まフルセット理解一致り']"
5,92,5_取り組むべ課題多岐わっり責任重痛感り_我国取り巻く環境一層厳増す中省_我国周辺環境一層厳増認識り_我国取り巻く環境一層厳増す中在日米軍あゆる事態適時適切対応る必要基盤っり整備く極め重要,"['取り組むべ課題多岐わっり責任重痛感り', '我国取り巻く環境一層厳増す中省', '我国周辺環境一層厳増認識り', '我国取り巻く環境一層厳増す中在日米軍あゆる事態適時適切対応る必要基盤っり整備く極め重要', 'あく一般論申上げ我国取り巻く環境一層厳増す中政府る事態対応る平素体制整備含め万全期く当然申上げけ思', '台湾有事仮定質問答差控一般論申上げ日本取り巻く環境一層厳増す中政府る事態対応る万全期く当然平和安全法制整備等行っま', '繰り返省', '環境急速厳増す中必十分ま', '省ま今回発表及ぼす影響注意深く分析情勢注視思っり', '省ま中国海軍艦艇等動向引続注視まり万全期まり思っり']","['我国取り巻く環境一層厳増す中在日米軍あゆる事態適時適切対応る必要基盤っり整備く極め重要', '我国取り巻く環境一層厳増す中省・取り組むべ課題多岐わっり責任重痛感り', '我国取り巻く環境一層厳増す中省・取り組むべ課題多岐わっり責任重痛感り']"
6,87,6_戦後最厳く複雑環境直面中力抜本的強化決断ま_日本自身力抜本的強化議論引続貢献_力一方的現状変更試み深刻化北朝鮮度重る弾道ミサイル発射ど戦後最厳く複雑環境直面中力抜本的強化決断ま_新国家戦略等策定力抜本的強化議論引続貢献,"['戦後最厳く複雑環境直面中力抜本的強化決断ま', '日本自身力抜本的強化議論引続貢献', '力一方的現状変更試み深刻化北朝鮮度重る弾道ミサイル発射ど戦後最厳く複雑環境直面中力抜本的強化決断ま', '新国家戦略等策定力抜本的強化議論引続貢献', '日本取り巻く厳環境対処日本自身力抜本的強化必要', '日本自身力抜本的強化必要', '戦後最厳く複雑環境対峙く中ざ時国民命守り抜ける極め現実的シミュレーション行っ上十分守り再構築く力抜本的強化具体化ま', 'こ外交地歩固める日本自身力強化重要', '環境一層厳増り国一国平和守る現状踏ま以下施策積極的推進まり', '戦後最厳く複雑環境対峙く中国民命守り抜ける観点力抜本的強化具体化ござ']","['戦後最厳く複雑環境直面中力抜本的強化決断ま', '戦後最厳く複雑環境直面中力抜本的強化決断ま', '戦後最厳く複雑環境直面中力抜本的強化決断ま']"
7,80,7_新迎撃ミサイル等導入同時発射複数弾道ミサイル対処能力一層向上我国体制一層強化る考り_すわち相手ミサイル攻撃対ミサイル網飛来ミサイル防ぎ我国有効反撃加る能力保有二能力現状比相手戦略的戦術的計算複雑化日本ミサイル撃ち込相手目的達成容易攻撃め方思わ抑止効果得る考_追尾能力向上図る可能る日米双方更る弾道ミサイル能力向上寄与考り今後地元御理解得る関係自治体丁寧説明思っり_省現在今御指摘ｔｈａａｄイージス,"['新迎撃ミサイル等導入同時発射複数弾道ミサイル対処能力一層向上我国体制一層強化る考り', 'すわち相手ミサイル攻撃対ミサイル網飛来ミサイル防ぎ我国有効反撃加る能力保有二能力現状比相手戦略的戦術的計算複雑化日本ミサイル撃ち込相手目的達成容易攻撃め方思わ抑止効果得る考', '追尾能力向上図る可能る日米双方更る弾道ミサイル能力向上寄与考り今後地元御理解得る関係自治体丁寧説明思っり', '省現在今御指摘ｔｈａａｄイージス', '経ケ岬分屯基地ｔｐｙ２レーダー配備我国米国飛来弾道ミサイル探知', '様々特徴有スタンドオフミサイル導入我国侵攻我国主る責任持っ阻止排除得る能力構築抑止力対処力向上可能武力攻撃可能性低下必要取組考り', '具体的長射程化正確性運用能力向上ど北朝鮮弾道ミサイル能力進展踏ま日米間適切役割分担基づ弾道ミサイル能力情報収集', '日本保有ま弾道ミサイル今イージス', '北朝鮮先申上げま昨年二回核実験二十発以上弾道ミサイルど新段階脅威中我国弾道ミサイル体制能力強化策参考ｔｈａａｄ目見る大変有意義考り', '新迎撃ミサイル等導入我国体制一層強化る考り']","['項目「ひゅ」「」型護衛艦変化環境急速技術革新対応る程度拡張性有最新航空機離発着可能ど現有艦最大限潜在的能力客観的把握今回調査合致考り', '弾道ミサイル能力向上喫緊課題考りまイージス・アショア配備運用相当期間要我国国民生命財産守るそっ責務負省・可及的速導入向け必要取組引続進めくそっ考変わりござま', '○河野国務大臣導入決め当時状況見イージス・アショア導入海上イージス艦対応まりまけどり二十四時間三百六十五日当時まイージス艦隻数少中対応り困難そ中イージス・アショア導入決め当時正っふ思']"
8,73,8_農業_こっ点考食品肥料飼料多く輸入依存我国食料上リスク顕在化大くこ危機感強く持っ_戸別所得補償制度米助成基本需要作物転換進ま問題考りスマート農林水産業輸出促進グリーン化食料強化農林水産政策四本柱我国課題対応政策展開農林漁業者安心生産る農林水産業構築まり_食料自給力大事概念尋ねまけど農地農業用水担手農業技術先委員冒頭御質問まわゆるサプライサイド供給サイドろ思国内農業生産食料潜在的供給能力示す食料自給力こふ整理り我国農業従事者減少高齢化農地面積減少進展需要増大世界食料事情中長期的逼迫可能性こ状況考食料観点食料自給力維持向上図っく非常大事こふ考り,"['農業', 'こっ点考食品肥料飼料多く輸入依存我国食料上リスク顕在化大くこ危機感強く持っ', '戸別所得補償制度米助成基本需要作物転換進ま問題考りスマート農林水産業輸出促進グリーン化食料強化農林水産政策四本柱我国課題対応政策展開農林漁業者安心生産る農林水産業構築まり', '食料自給力大事概念尋ねまけど農地農業用水担手農業技術先委員冒頭御質問まわゆるサプライサイド供給サイドろ思国内農業生産食料潜在的供給能力示す食料自給力こふ整理り我国農業従事者減少高齢化農地面積減少進展需要増大世界食料事情中長期的逼迫可能性こ状況考食料観点食料自給力維持向上図っく非常大事こふ考り', '食料考方国全体必要食料確保けく平時国民一人一人食料アクセス健康食生活享受る重要こ社会実現向け政府挙げ取り組まり', '農村基本法見直向け検討進めり食料当然水産物含ま我国水産業持続的発展食料観点極め重要', '食料将来わっ安定的確保く食料将来わっ安定的確保く国内生産るる限り国内生産く重要農林水産業成長投資改革更進め食料観点踏ま国際競争災害負け足腰強農林水産業構築食料自給率向上図っまり', '食料確保肥料飼料価格高騰海洋環境変化不漁ど自身車座対話通じ生産者皆直接伺っ課題克服農林水産業次世代引継る夢持っ働ける稼げる産業必要考り', '食料確保', '農林水産業肥料']","['現在食料・農業・農村基本法見直向け検討進めり食料当然水産物含ま我国水産業持続的発展食料観点極め重要', 'り食料安定供給将来わっ確保く国家最基本的責務考りまそっ意味自給率向上不測時食料食料・農業・農村基本法基本施策明記りまＴＰＰ交渉わ国取り組むべ課題ござ', '新食料・農業・農村基本計画食料関国民運動文言組み込ま大変く思っり']"
