Topic,Count,Name,Representation,Representative_Docs
-1,5958,-1_国務大臣_じゅ_内閣総理大臣_菅直人君,"['国務大臣', 'じゅ', '内閣総理大臣', '菅直人君', '野田佳彦君', 'シー', '斉藤', '林幹雄君', '小渕優子君', '安全着実計画的廃止措置実施含め力取組ど国主導取り組むべ基幹技術推進']","['○国務大臣（甘利明君）ＧＮＥＰ他力協力枠組み国際的展開そ中日本極め重要役割果す今日力推進努力成果裏返評価結果ふ思っり', '○国務大臣（小渕優子君）ま規制委員会方安全性確認場合進めふ考', '来年度初号機打ち上げ目指すＨ３ロケット開発同年度地球帰還予定「ぶ２」代表る宇宙科学・探査月周回有人拠点ゲートウェイ含む月探査推進ど国内外大期待関心寄宇宙・航空分野研究開発海洋・極域研究開発「じゅ」安全着実計画的廃止措置実施含め力取組ど国主導取り組むべ基幹技術推進']"
0,279,0_イラン主要関係国緊密連携同国力開発平和目的限定る核問題外交的解決努力まり_各国先頭立っ核軍縮核不拡散訴続ける力安全防災分野教訓知見他国共有世界恩返けりま_あす日印首脳会談ｎｐｔ核不拡散体制未加盟国核兵器保有国インド対唯一被爆国福島事故経験日本輸出約束どっ_日本唯一戦争被爆国核兵器世界実現包括的核実験禁止条約締結尽力ど核軍縮積極的推進技術的重複核平和利用脱る限り縮小く日本国際的使命ふ思,"['イラン主要関係国緊密連携同国力開発平和目的限定る核問題外交的解決努力まり', '各国先頭立っ核軍縮核不拡散訴続ける力安全防災分野教訓知見他国共有世界恩返けりま', 'あす日印首脳会談ｎｐｔ核不拡散体制未加盟国核兵器保有国インド対唯一被爆国福島事故経験日本輸出約束どっ', '日本唯一戦争被爆国核兵器世界実現包括的核実験禁止条約締結尽力ど核軍縮積極的推進技術的重複核平和利用脱る限り縮小く日本国際的使命ふ思', '日本反対アメリカインド力協定ま基本的', '日本ｎｐｔ入まま核武装インド関連技術部材輸出す北朝鮮イラン問題弱まっｎｐｔ信頼性空洞化必至', '日米フランス連携世界売っく目的っあま交渉事調整こ理解', '日米力協定ま米国間緊密連携く考', '日米力協定外交テーマ考り', '日米力協定結アメリカ自身実核燃料サイクル撤退わけ日本同じ力協定結ぶ立場アメリカ核燃料サイクル撤退めよ言る理解りま多分過去そ日本ああこ言っ形跡ど当前ろふ思']","['核セキュリティ・サミット自体ま力安全核セキュリティー関連性将来向け取組方向性一連具体的措置我国三・一一事故踏ま明ふ思っ', '米ホワイトハウス国家安全保障会議ウルフソル上級部長日米力協定効力延長「大議論呼ぶ問題る可能性」指摘日本核燃料サイクル政策見直す「米国支持」述べ', 'まりそ拡張海外ね議論例アメリカ一九四六年七月国連提出個別的自衛権資料「兵器適切方法「武力攻撃」規定爆弾実際落すけく準備一定段階定義含まる重要適切あろ']"
1,276,1_佐藤_あちっアメリカアメリカ説明大丈夫言わ少くこ事故アメリカ力艦船安全性ちっ再点検くぐ言わっ後取り返りよ_大変作業思中間取りまめ究極的事故原因調査恐く終わるまあ終わる言まけど二十年三十年作業側面ござ期待りっり頑張っ思_委員長当然力御専門ござ黒川委員長御著書中ろろ御指摘力限組織問題ろろ御指摘受けわけござ今委員会規制庁全体責任負っ更田委員長ぜひろろ御指摘全一十全部正御主張どよくわりまけどりあこっ立場国会事故調委員長来週金曜日ち黒川委員長始め四名方ボード質問時間くわけござこ御指摘く下っ黒川先生御指摘り謙虚受けめ改善るぜひっ思,"['佐藤', 'あちっアメリカアメリカ説明大丈夫言わ少くこ事故アメリカ力艦船安全性ちっ再点検くぐ言わっ後取り返りよ', '大変作業思中間取りまめ究極的事故原因調査恐く終わるまあ終わる言まけど二十年三十年作業側面ござ期待りっり頑張っ思', '委員長当然力御専門ござ黒川委員長御著書中ろろ御指摘力限組織問題ろろ御指摘受けわけござ今委員会規制庁全体責任負っ更田委員長ぜひろろ御指摘全一十全部正御主張どよくわりまけどりあこっ立場国会事故調委員長来週金曜日ち黒川委員長始め四名方ボード質問時間くわけござこ御指摘く下っ黒川先生御指摘り謙虚受けめ改善るぜひっ思', '大臣伺けど低廉安定的まり東電言っ理屈全まくっ早期場合事故間絶対起こ前提思けど根拠願望すぎじゃ願望ふ大臣東電言わゃけじゃ思', '大臣ちろ場面同席共行動っわけま出大臣け任判断まっ力重大性中自身っり把握け緊急性高こ考そ行動取っわけま間違っ全く思っりま', '実党内力政策議論常主張力るっりろ推進っり推進っりむ得こ立場論陣張っわけござょ話伺っ必ま規制委員会方っり見', '小泉純一郎ゼロ言っ即座める言わけど現実問題使考方走っ現実中急める理想わっ難ふ実思っりちっ答出整理く必要ふ思っ', '小熊委員方針示至っ理由述べまけど福島県民皆寄り添言っまけどっ早段階判断じゃ意味ま信頼一切今後向工程表方っり丁寧県民理解得早段階示思っ', '少くっそ力ろろ事故過去海外多くま日本臨界事故最大っわけそっ意味一般的認識持っりまそ想定立っそ訓練行わ御指摘り思っり']","['第一・汚染水対策初め問題四十年近くる話ござっり世界力知見集めく研究センター初め拠点推進ロボットテストフィールドどそっ形拠点づくりここイノベーション・コースト構想今推進りそっ中付随企業っり集まっこけけこっ観点立っり', 'め力推進る費用一％こっ本当け違一割言ま一％っ多分今日本太陽並風力先進国ょ', '○佐藤（茂）委員ぜひちっ第三者機関くっ大事今玄葉大臣言わまけど今回政府対応含め東京電力ちろけどあ機関力安全・保安院動力安全委員会こちっ機能含めっり物言中立的立場ちっ検証けるそ機関当然設けるべろ思']"
2,254,2_力安全東京電力福島第一力発電所事故踏ま事故徹底検証得る知見教訓国際社会共有国際的力安全向上貢献く我国果すべ責務考_東京電力福島第一事故戦決終わっま_東京電力福島第一力発電所事故検証得る知見教訓国際社会共有国際的力安全向上貢献_東京電力福島第一力発電所事故全町避難強大熊町復興向け次ステップ旗印ゼロカーボン掲げ人口規模どま特別意義考,"['力安全東京電力福島第一力発電所事故踏ま事故徹底検証得る知見教訓国際社会共有国際的力安全向上貢献く我国果すべ責務考', '東京電力福島第一事故戦決終わっま', '東京電力福島第一力発電所事故検証得る知見教訓国際社会共有国際的力安全向上貢献', '東京電力福島第一力発電所事故全町避難強大熊町復興向け次ステップ旗印ゼロカーボン掲げ人口規模どま特別意義考', '林国務大臣東電福島第一事故反省検証不断実施く極め重要ふ考', '残念福島事故原因解明収束先小此木委員報告ま野田内閣冷温停止収束宣言果どろ議論思', '核燃料サイクル再処理まま続行福島第一事故原因究明中事故収束作業危状況中事故前推進政策逆戻り着々進め見', '東電福島第一事故放射能まま十二万人人々避難生活余儀く福島県民っ今加害企業', '残念今回福島第一事故影響出る食品含まる放射性物質影響体出る今実証的見解出現実考り', '東電ま行べ福島第一事故賠償']","['東京電力福島第一事故戦決終わっま', '東京電力福島第一力発電所事故全町避難強大熊町復興向け次ステップ旗印ゼロカーボン掲げ人口規模どま特別意義考', '東京電力福島第一力発電所事故検証得る知見教訓国際社会共有国際的力安全向上貢献']"
3,168,3_けど総じり第二党派関係く福島県選出国会議員意見ま野党与党く_民主党側提案与野党協議中入込ま文章けど力利用側事故発生常想定_我党藤井孝男議員代表質問中質問まけど再度日本維新会政策脱依存掲げり_委員御質問今回法案改革役割ど位置づけござ電事法電源基本的ニュートラル立場,"['けど総じり第二党派関係く福島県選出国会議員意見ま野党与党く', '民主党側提案与野党協議中入込ま文章けど力利用側事故発生常想定', '我党藤井孝男議員代表質問中質問まけど再度日本維新会政策脱依存掲げり', '委員御質問今回法案改革役割ど位置づけござ電事法電源基本的ニュートラル立場', '安全神話陥っくり推進歴代自民党政治反省全くじゃ思総理ょ', '安倍総理今政策今井委員申上げまち大大政策方向性安倍政権日本維新会大く違わ思っ', '安全性確保重要電源活用一昨年九月時点まり前回衆議院選挙直前民主党方針よく理解ま', '我党福島事故教訓政官業癒着構造断ち切る天下り厳格禁止強く求め質問終わり', '国民願脱方向', '民主党政権二〇三〇年代稼働ゼロ目指す革新的エネルギー']","['「小泉「首相決断す脱る」主張', '建設推進国民声二五％現状維持廃止方向求める方六三％過半数上る推進透け見る法案出くる民意逆方向率直思わけ', '自民党「力発電・燃料サイクル着実推進」提言政府政策矛盾ょ']"
4,124,4_じゅ_あ日本再処理話るょ今資源リサイクル話そっ意味力資源リサイクル非常適核不拡散安全上問題前提ござけど_実証炉具体的研究開発進める前提高温ガス炉高速炉含めま高速炉_吉野委員炉全部水ふ炉中全部水入わゆるデブリ言わる溶け燃料取り出す思っ,"['じゅ', 'あ日本再処理話るょ今資源リサイクル話そっ意味力資源リサイクル非常適核不拡散安全上問題前提ござけど', '実証炉具体的研究開発進める前提高温ガス炉高速炉含めま高速炉', '吉野委員炉全部水ふ炉中全部水入わゆるデブリ言わる溶け燃料取り出す思っ', '委員処理けど今進中放射性廃棄物最終処分施設課題思けど最終処分施設建設地選定選定係る期限設けるべふ思けど辺りょ', '十月問題輸送容器使っ青森県六ケ所村再処理施設使用済み燃料搬入るわけけど当然六ケ所村地元皆ちろけど全国力施設立地地元皆ぞ今回事件注目輸送容器安全性非常心配る思', '実用化めど立使用済み核燃料ど決まっ高レベル放射性廃棄物処理どく決ま今日本力発電現状', '力開発根本揺ｉｔｅｒ', '力行政高速増殖炉プルトニウムリサイクル路線基本的立場日本力行政揺影響', '力研究開発機構']","['力機構ろろ問題機構ガバナンス等々含め問題あろ思以上「じゅ」高速増殖炉続ける意味今問わけけふ思', '「じゅ」現在エネルギー戦略中位置づけ核燃料サイクル中重要一構成要素理解りけど「じゅ」運用停止不可能力サイクル事実上ストップるろ思', '核燃料サイクル占める「じゅ」位置極め中心的立場経産大臣発電用炉施設方「じゅ」抜本的見直すそすべ思']"
5,100,5_けど力ど欠す言切る_今問わ国民力評価ど政治受けめる思_直ちめ大飯め上再調査すべ思_考違けど政府後長く使っく道開ふ受け止めま,"['けど力ど欠す言切る', '今問わ国民力評価ど政治受けめる思', '直ちめ大飯め上再調査すべ思', '考違けど政府後長く使っく道開ふ受け止めま', '後採決行わけどっり向合っけりま', '避難計画り十分け動当然ふ思ね', '引続頼み言全く矛盾申上げ総理', '今力り議論難じゃ', '少く向べ方向減縮', '実際今本当事故人生大く変方々先申上げま闘続け忘けふ思']","['けど力ど欠す言切る', 'す研究労力どど老朽化迎るく', '二点目「議員立法ろ話聞まこ程度力立地地元りまょ話る内容思よ']"
6,93,6_ゼロ_あく維持存続前提_通常今どり思_我国ちろ,"['ゼロ', 'あく維持存続前提', '通常今どり思', '我国ちろ', '要方け十分ろリプレース話ま', '福島県議会けく当時考るめま東京ピークアウトじゃ', '脱路線そござ', '福島通常スキームまよねわけじゃ', '明確じゃ', 'ゼロ果どっ人材確保続けるる']","['じゃ長期運転ど', 'ゼロ', 'ゼロ']"
7,88,7_シー_ジェー_く災害けど災害深まっ確認側面けど一方事故逆断ち切っっ災害_八年前福島第一事故通じち得最大教訓一〇〇,"['シー', 'ジェー', 'く災害けど災害深まっ確認側面けど一方事故逆断ち切っっ災害', '八年前福島第一事故通じち得最大教訓一〇〇', '言要無責任体制中事故起こまっ安全考方間違っ後進国事故起こまっ思っそ中東京電力福島第一事故教訓っり踏ま改革次進あ本当', '行べ施策くく大変気り問題被害拡大現況思', '通告四番目ちょっ飛思ゼロリスク神話ま福島第一事故シビアアクシデント起こっ最大背景安全神話思っ', '昨日ちょど海上自衛隊福島ゲージ寄水どど送る作業画像ニュース流まけど一般公開る初め当時映像残ふ思ね', '今日本万一過酷事故起避難るど全く検討まま立地ね', '感じわざわざ福島事業者認定平成二十五年事故後あ与るちょっ感覚的違和感覚るわけ']","['力施設事故こそ安全神話塊考方ジェー・シー・オー事故受け力事故得る前提力災害対策特別措置法くっわけ現実再び大事故起まっ', 'ジェー・シー・オー臨界事故力国民信頼地落ちわけござ', '力携わっ者今回事故力船「む」ジェー・シー・オー事故大事故経験意味対策施くけっ']"
8,80,8_くぐょ内閣防災担当副大臣今指摘政府挙げちっ更田委員長見直_小泉国務大臣先長坂副大臣答弁経産大臣総理大臣っり避難計画中稼働実態進む言っわけそ考り_質問先立っ過日予算委員会福島県イメージ損福島名前外そ提案公明党浜田議員総理要請総理善処言っわ今福島言葉使っ大変憤り覚り_柿澤委員総理個人御発言限り共有く構わろろ解釈成り立御発言けど聞限り海江田大臣菅総理脱依存依存く社会目指く一〇〇,"['くぐょ内閣防災担当副大臣今指摘政府挙げちっ更田委員長見直', '小泉国務大臣先長坂副大臣答弁経産大臣総理大臣っり避難計画中稼働実態進む言っわけそ考り', '質問先立っ過日予算委員会福島県イメージ損福島名前外そ提案公明党浜田議員総理要請総理善処言っわ今福島言葉使っ大変憤り覚り', '柿澤委員総理個人御発言限り共有く構わろろ解釈成り立御発言けど聞限り海江田大臣菅総理脱依存依存く社会目指く一〇〇', '言っけど増子委員御存じ上御質問思早く決断すべ考', '菅内閣総理大臣本会議答弁失政言わ失政ゼロちろ申上げま力事故関長く政権場政党責任趣旨申上げ個別申上げわけま', '菅総理少く内閣総理大臣肩書持ち個人思依存社会目指くべこっゃ一定方向づけ政治的リーダーわけ', '菅委員総理まけど通産大臣科学技術庁長官厚生大臣ま先通産大臣力問題個人的見解聞ふっゃまけど力根源的矛盾ま解決ふ思っり', '河野国務大臣申上げくござ外務省政策所掌りま残念答立場ござま', '委員大臣御発言ひ気けゃけ同時法案出時点議論けどち力安全上独立性国民重大悪影響与事態後独立性同時捜査権付与安全庁けけじゃ']","['ちみ事故与党政調会長けど一・八兆ぐけ賠償スキームくっ今回難', '○田中（和）委員大臣御発言ひ気けゃけ同時法案出時点議論けどち力安全上独立性国民重大悪影響与事態後独立性同時捜査権付与安全庁けけじゃ', '○大臣政務官（小泉進次郎君）言っけど増子委員御存じ上御質問思早く決断すべ考']"
