Topic,Count,Name,Representation,Representative_Docs
-1,4413,-1_国務大臣_長島_篠原_渡辺,"['国務大臣', '長島', '篠原', '渡辺', '拍手', '前原誠司君', '寺田', '沖縄施設区域問題上必要性踏ま沖縄県負担少軽減観点取り組まり', 'イージス', 'ネーション']","['○長島（昭）委員カブール地域比較的安定そ先御答弁く少ゼロベース日本アフガニスタン復興わり方っ大野長官ニーズ給油話まけど少主体的考けるじゃろこ思', '○国務大臣（岡田克也君）対象あま言控るべ思少一般論言わく我国取り巻く環境中北朝鮮核中国ロシア核そっ日本環境考考慮けけ点言る思', '○国務大臣（前原誠司君）委員御指摘外交考く上情報インテリジェンス極め重要ふ思っり']"
0,341,0_我国取り巻く環境大変厳中日米同盟強化不可欠_昨年菅政権発足以来日米首脳累次わ経済文化_アジア太平洋地域環境不安定不確実状況在沖米軍含む在日米軍抑止力我国っ不可欠_以上取り組み加み力整備く重要,"['我国取り巻く環境大変厳中日米同盟強化不可欠', '昨年菅政権発足以来日米首脳累次わ経済文化', 'アジア太平洋地域環境不安定不確実状況在沖米軍含む在日米軍抑止力我国っ不可欠', '以上取り組み加み力整備く重要', '国際社会安定確保我国っ有利環境醸成意味重要', 'こ在日米軍基地基地再編強化予算地球的規模日米軍事一体化推進める断じ認めるわけま', '理事会今日国際社会反映正統性備機関る安保理改革早期実現我国常任理事国入り目指積極的取り組まり', '拍手', 'あわ我国国益長期的視点見定め上我国安全確保く国家戦略策定まり', '既ハイチ等重要貢献行っ今後積極的役割果すべく更る貢献検討']","['米ホワイトハウス国家会議ウルフソル上級部長日米原子力協定効力延長「大議論呼ぶ問題る可能性」指摘日本核燃料サイクル政策見直す「米国支持」述べ', '国家会議（ＮＳＣ）ラッセル・アジア上級部長会談前「日本二度劇的政権交代経二国間関係非常安定強固', '例序文中「「存在」「機能」脱皮求める」上「抑止前提従前考新脅威対応限界']"
1,268,1_新型コロナ感染拡大以降主赤字国債財源巨額予備費計上中余っ予備費決算剰余金回り費増額流用種マネーロンダリングりま_あゆる予算上制約予算確保通常ぜ費け四十三兆円四十_日本海側太平洋側ぐ重要ルート上下分離国有化今度建設国債使るる建設国債財源る_毎年五兆円費倍増身丈合っ今姿,"['新型コロナ感染拡大以降主赤字国債財源巨額予備費計上中余っ予備費決算剰余金回り費増額流用種マネーロンダリングりま', 'あゆる予算上制約予算確保通常ぜ費け四十三兆円四十', '日本海側太平洋側ぐ重要ルート上下分離国有化今度建設国債使るる建設国債財源る', '毎年五兆円費倍増身丈合っ今姿', '決算剰余金財源使補正予算別よっ補正予算っじゃ', '気る真力経済力強化財政基盤強化入口将来国民負担求めるむふ文章読めわけね', '有事十分備先平時暮安心バランスま不可欠立場立っ話進めふ思関係費五年連続過去最大五兆三千億円概算要求', '次力強化財源増税方針組み込注視必要', '歳出改革財源捻出有識者会議っま歳出改革優先すべ関係予算非社会保障関係費歳出改革捻出こ言っりけど今回法案有識者会議考沿っ作', '歳出改革少子化対策歳出改革振出くる打ち出小づち']","['来年度予算案概算要求若干減ま財政審言っ「中期力整備計画整合性す疑問」指摘二〇一五年度省予算案当るふ考り', '当然法人事業税払っワーカー働人所得税納税含め四千億円一・七％納め既ＪＴインターナショナル会社一・四％ね自ホームページ国庫歳入一・四％相当額納め質問果日本政府財務大臣三分一以上筆頭株主筆頭株主日本こ産業ロシア三千億円以上納税反面ロシア現状変更力変更今脅威国念頭中国念頭力抜本的強化国民理解得力増強図り財源得る', 'そ意味力強化増税支持六四・九％五年間費現在一・五倍超約四十三兆円反対五三％東日本大震災復興財源一部流用反対七四・五％ま反撃能力保有日本周辺国緊張高まる六一％こふまくマスコミ誘導質問賛成']"
2,266,2_あわり本来金問題日常的予生活動ちろろ伝染病出対応る本当一番基本思ね_庁長官犯人グループど屈べ申上げま_時代思限り外交問題問題党派超当然るべ問題まょ中るけ具体的提言こ場ちろ伝くりり_時間ま首尾よく当選帰っっ委員会り思,"['あわり本来金問題日常的予生活動ちろろ伝染病出対応る本当一番基本思ね', '庁長官犯人グループど屈べ申上げま', '時代思限り外交問題問題党派超当然るべ問題まょ中るけ具体的提言こ場ちろ伝くりり', '時間ま首尾よく当選帰っっ委員会り思', '日本全土る説明ど納得', '是非含める無理無理点庁長官運用局長官房長どち結構けど事実確認ちょっけ', '日本こ問題起こるど大事早く決断くちゃ', '施設庁けぬけど施設庁けじゃ済ま', '時間限り問題次譲りまりど憲法問題触わけま', '普通検討ろろ意味検討ゃけ思っ']","['けど大臣立場今言っ政府内決定ふざける冗談じゃ危険地域け任務与出す……（発言者）る', '映画実現省・協力けああっ映像撮っ思ま', '身内甘省・点北澤大臣自身っゃっるわけま監視行わるど極め疑わ']"
3,172,3_国連軍_武力行使_目的_当該,"['国連軍', '武力行使', '目的', '当該', '参加当該', '内閣総理大臣必要認める国防重要事項', '憲法第九条第一項禁止', '紛争地域派遣憲法上断じ許ま', '参加', '参加場合同様自衛必要最小限度範囲超る憲法上許考']","['武力行使伴め参加武力行使伴任務持っ国連軍「協力」まり「当該「国連軍」組織外行「参加」至各種支援」るこ整理けど数日来国会御答弁伺り任務武力行使伴わ入っ参加まり指揮下入るるニュアンス御答弁聞こる一度簡潔整理思', '当該「国連軍」司令官指揮下入り一員行動意味平和協力隊当該「国連軍」参加当該「国連軍」目的・任務武力行使伴当該「国連軍」参加場合同様自衛必要最小限度範囲超る憲法上許考', '一遍短文章読みけど「参加」当該「国連軍」司令官指揮下入り一員行動意味平和協力隊当該「国連軍」参加当該「国連軍」目的・任務武力行使伴当該「国連軍」参加場合同様自衛必要最小限度範囲超る憲法上許考']"
4,168,4_けど今後先覚悟備必要申上げまけど米中覇権争ざま日本ど日米条約日米同盟方優先る多く人認めるまそ_新日米共同宣言くそ形飛び越アメリカ言ちろ憲法枠中前提くどど出くそ日米同盟今違っ総理全く説明責任果じゃ_国自体今法制議論けど一方米国同盟強化場合容認含め大事思けどり自分国自分守る自立非常重要企業っ地域っ個人っ依存自立我国一番大課題ふ思っ_冒頭端的答けど国家戦略中ロシアウクライナ侵略至っ軍事的背景ウクライナロシア力十分くロシア侵略思どま抑止っまり十分能力保有っ意味上目線言っけど総理三文書基づく予算措置日本ウクライナ国民皆自信持っ言,"['けど今後先覚悟備必要申上げまけど米中覇権争ざま日本ど日米条約日米同盟方優先る多く人認めるまそ', '新日米共同宣言くそ形飛び越アメリカ言ちろ憲法枠中前提くどど出くそ日米同盟今違っ総理全く説明責任果じゃ', '国自体今法制議論けど一方米国同盟強化場合容認含め大事思けどり自分国自分守る自立非常重要企業っ地域っ個人っ依存自立我国一番大課題ふ思っ', '冒頭端的答けど国家戦略中ロシアウクライナ侵略至っ軍事的背景ウクライナロシア力十分くロシア侵略思どま抑止っまり十分能力保有っ意味上目線言っけど総理三文書基づく予算措置日本ウクライナ国民皆自信持っ言', '前原委員り戦後日米同盟関係頼り過ぎ自国努力怠っ一大要因思外交力っ自国力り交渉力っく思一定程度力増強アメリカ過度依存自国能力向上必要申上げ思', '別中国我国っ具体的脅威るそく可能性問題最悪事態そ得る念頭置当然我国政策力水準中国限りま中国一例けど考けけそろ思', '前々回思けど岩屋大臣話まちろ自前能力向上大事け日本守日米同盟強化く維持強化く大事', '周辺国間よく言わセキュリティージレンマ要ま核持ち持三発持十発持こっどどどど環境悪化スパイラル入っくこ日本核保有まま日本資思ま', '先日八日発表日米協力指針中間報告見戦争るる戦争る国る明じゃ思', '方向今後動くりり我国当事国よ朝鮮戦争終結向け動場合傍観くわけ日本我国考方り朝鮮半島不安定上当然大く関係体制組間違わけござこ板門店宣言受け我国傍観わけ']","['一九三〇年代幣原協調外交当時田中義一内閣軍非常強くわけけど外交ちっコントロール含めシビリアンコントロールすべじゃ思けどそ意味ケース・バイ・ケースりほっく話じゃ思', 'ミサイル技術的欠陥種々議論るあわ我国本当アメリカ任大丈夫そろそろギブ・ミー・チョコレート世界目覚めるべ', '話題けど同じ主張過去わけ例中西輝政二〇〇六年「「日本核武装」論点」書けど方ろろっゃっけど分りすちょっ引用国内日本け米国戦域核兵器配備核ボタン日米共同運用核脅威抑止構想書非核三原則持ち込ま原則見直すべふ主張']"
5,129,5_渡辺_あく武力背景ゃけけど外交平和導くふ認識りそっ意味ｇ20十一月二十二二十三外相会合名古屋予定伺っりろろテーマ一るどわりまけど外交平和導く願思_委員是非外務省ｏｄａ非ｏｄａそけど中国ろろり日本棄権みどちま若く中国逆ま果本当戦略的日本外交的っくよ思っっ結果中国両びけ無駄るｏｄａ今回予算中非ｏｄａ的様々諸外国協力関係是非一定めり張りけ検討選択思_前原委員申上げるく対処る平素っり整くござ点最大事部分そけま外交努力外務大臣中心っわけござけどそ法律整る使命思ぜひ庁長官閣内リーダーシップっ前昭和五十三年ガイドライン三決めけど法整備全然行わ二十数年間放置今回ガイドライン周辺事態っけどあ二放置る絶対ぜひ継続あ二取り組く要望思,"['渡辺', 'あく武力背景ゃけけど外交平和導くふ認識りそっ意味ｇ20十一月二十二二十三外相会合名古屋予定伺っりろろテーマ一るどわりまけど外交平和導く願思', '委員是非外務省ｏｄａ非ｏｄａそけど中国ろろり日本棄権みどちま若く中国逆ま果本当戦略的日本外交的っくよ思っっ結果中国両びけ無駄るｏｄａ今回予算中非ｏｄａ的様々諸外国協力関係是非一定めり張りけ検討選択思', '前原委員申上げるく対処る平素っり整くござ点最大事部分そけま外交努力外務大臣中心っわけござけどそ法律整る使命思ぜひ庁長官閣内リーダーシップっ前昭和五十三年ガイドライン三決めけど法整備全然行わ二十数年間放置今回ガイドライン周辺事態っけどあ二放置る絶対ぜひ継続あ二取り組く要望思', '基本計画定め派遣命令出今ろろ言わ既準備整っ先遣隊航空行く北海道旭川第二師団行く場合行く役割全くり少危害及ぶち日本政府行く送り出す側点イラク国民り余計今言わ日本国内議論通用まけど向こ国り理解わけけ', '委員各国要請受け国際社会要請中我国ろろ形国際貢献く中り日本人感覚物ゃべる相手国文化ろろバックグラウンド宗教的民族的含め理解中コミュニケーションる人材くっゃけまひ真国際貢献るょ展開る安全高める寄与ろござ自前人材くるぜひ積極的人材育成図っふ思わけござ', '同じ例日本問題方針国こ事実違けど政治的意図含めレポート出場合そ場合反論けけ間違っプロパガンダ世界ま散る起場合特定秘密そ本当言否定け肯定黙っる国益上大変我国っ損失場合例直ち反論否定特定秘密部分解除けけ直ち機動的対応けけ場合手続等る特定長る', '委員議論意味こ最悪事態起ど最悪事態起ど当然ろろシミュレーションくり上げくべ際外交的努力ちろ必要回避抑止力必要ょけど場合っり当然事前準備く当前けど要諦思わけね', '前原委員本来庁長官み今庁施設庁体質っり施設庁解体っゃっ庁統合っゃる現実ど体質っり御自身見わめ上解体的出直っゃるわるけど件捜査当局任自分ちあり知捜査協力余り他人事ま', '前原委員先申上げま警察機関海上保安庁仕事役割分担違っくるろ思今庁長官海上保安庁長官話本当まく連携り合情報共有合スムーズそっ協力態勢る部分法律整備問題るり運用訓練話り大思ぜひ積極的互協力合っ部署違く一緒国守る観点行っ改め要望思']","['○渡辺（周）委員議論意味こ最悪事態起ど最悪事態起ど当然ろろシミュレーションくり上げくべ際外交的努力ちろ必要回避抑止力必要ょけど場合っり当然事前準備く当前けど要諦思わけね', '○渡辺（周）委員各国要請受け国際社会要請中我国ろろ形国際貢献く中り日本人感覚物ゃべる相手国文化ろろバックグラウンド宗教的民族的含め理解中コミュニケーションる人材くっゃけまひ真国際貢献るょ展開る安全高める寄与ろござ自前人材くるぜひ積極的人材育成図っふ思わけござ', '○渡辺（周）委員是非外務省ＯＤＡ非ＯＤＡそけど中国ろろり日本棄権みどちま若く中国逆ま果本当戦略的日本外交的っくよ思っっ結果中国両びけ無駄るＯＤＡ今回予算中非ＯＤＡ的様々諸外国協力関係是非一定めり張りけ検討選択思']"
6,114,6_あく死刑制度ど本来日本法体系中死刑ど議論ござそっ議論けどこっふ外交案件日本戦後外交根幹死刑制度関わっ国民皆様理解く本当ょっっり答弁く必要思今後っり聞っ答弁求めふ考り_本当日米関係今後まくっくけ互国認識条約改定運用見直含め委員っゃっあまく日米両国関係っ好ま思まそっ政府立場じゃく民主党政策担当者そ疑念持っる部分委員御指摘共有部分申上げ思_委員庁長官っゃる厳格言指揮監督権限っこけ人事交流人事的重キャリア事務官施設庁実際行っわけ全く指揮監督統制及っふ言切る無理あろ思点そ離施設庁今回取り込本庁改革くわけ改革本庁責任ち明確上移行一言申添思_大綱ま御存じり安保会議最終的決める今議論前原大臣我方北澤大臣等々入っっりけどど協議進め省べ考方会議北澤大臣持っ発言く省内検討一カ月どっ陸海空含めっ中話個人り島嶼部真剣考こ話出事実ござそ思省そ島嶼部重要性認識御理解け思っり,"['あく死刑制度ど本来日本法体系中死刑ど議論ござそっ議論けどこっふ外交案件日本戦後外交根幹死刑制度関わっ国民皆様理解く本当ょっっり答弁く必要思今後っり聞っ答弁求めふ考り', '本当日米関係今後まくっくけ互国認識条約改定運用見直含め委員っゃっあまく日米両国関係っ好ま思まそっ政府立場じゃく民主党政策担当者そ疑念持っる部分委員御指摘共有部分申上げ思', '委員庁長官っゃる厳格言指揮監督権限っこけ人事交流人事的重キャリア事務官施設庁実際行っわけ全く指揮監督統制及っふ言切る無理あろ思点そ離施設庁今回取り込本庁改革くわけ改革本庁責任ち明確上移行一言申添思', '大綱ま御存じり安保会議最終的決める今議論前原大臣我方北澤大臣等々入っっりけどど協議進め省べ考方会議北澤大臣持っ発言く省内検討一カ月どっ陸海空含めっ中話個人り島嶼部真剣考こ話出事実ござそ思省そ島嶼部重要性認識御理解け思っり', '委員っそっゃっっゃるけど改め予算委員会議事録ど確認手明する答弁差控る例ミサイル発買単価幾そっふ答中身明示繰り返ま存立危機事態反撃能力そっ際使用関そっ関どっ行動取る手明する答答弁繰り返力強化賛成一方こっ説明予算関り国会予算チェック機能十分果くま大変問題考り', '外交りく政治家志わけ口悪同僚ま言わるけど小学四年生娘幼稚園年中通っ娘二人りまり教育問題避け通りわけ義務教育問題避け通ょ午前中先輩議員皆質疑まけど改め中山大臣初め文部科学省皆義務教育わる国庫負担金方質問ふ思', '大臣伺思今回三月起本当ぐ報告すべまシビリアンコントロール失わ言わね部分今後シビリアンコントロール確実す今後一般省国会答弁ろろ形説明異る事実現場わっ場合当日遅く翌日報告場説明けっり言っけ省', '安保委員会そ当委員会議論くべ思本当守っわく議論けどぐ認識原子力っオッペンハイマー氏話まけど本当覚悟持っ時間来廃炉く流くっけ安全性確保点ろろ御議論く存じ', '外務省まけど自分ちわる問題省外務委員会け議論ちゃ参加ちろ事務方参加副大臣参加けどり御大将出議論すべよ', '岸田大臣先りり中そ能力持っ計画話わけ安倍総理提言受け取っ翌日参議院本会議装備保有想定保有計画言わ上上ふ答弁我国すべ観点常まざま検討行べ力姿不断検討行当然提言受け答弁中言わわけけど岸田大臣同じ認識ょ']","['大臣伺思今回三月起本当ぐ報告すべまシビリアンコントロール失わ言わね部分今後シビリアンコントロール確実す今後一般省国会答弁ろろ形説明異る事実現場わっ場合当日遅く翌日報告場説明けっり言っけ省・内伝わる思大臣言るどシビリアンコントロールっ思明言思小野寺大臣', '僕法制懇けっ問わけじゃく太田大臣先尋ね太田大臣十一月五日憲法明文変更く行使認め保持っゃっ今総理「憲法改正必要指摘必当」含め同意っゃっ太田大臣ま一度確認けどそ太田大臣考方変わ理解よろ', 'ぞぞ根拠規定持っ根拠法令持っ大臣補佐わけ先相互排他的ま相互排他的仮ま例幕僚方大臣件補佐思っ相まっろ思っ内局方人ち政策的見地物言思っ純粋軍事専門的あ方口出すそそ法令上認め法第九条第二項規定基づ軍事専門的見地発言入っくるそ生じ願っ生じる現在確信りけどそ仮生じまっ制度的担保「相ま」け少弱ふ思けど大臣']"
7,88,7_農業_ぐ国民的農業理解広り深化け食料理解深まっ感じけど野村大臣国民皆農考考りょ_思けど食料考多収穫米必要_食料考場合大切テーマ思,"['農業', 'ぐ国民的農業理解広り深化け食料理解深まっ感じけど野村大臣国民皆農考考りょ', '思けど食料考多収穫米必要', '食料考場合大切テーマ思', '食料概念けど食料不足際ど不測時食料確保意味合定義場合日本方イメージじみ思けど一方ｆａｏ定義全人る活動的健康的生活必要食生活上ニーズ嗜好満す十分安全栄養食料物理的社会的経済的入手可能こ定義よく平時含め食料言わあろ思っり', '食料自給率り大臣達成食料大変重要目標思よ', '農山村住む人く国土ろま', '山紫水明日本国土っり守っく食料観点食料自給率上げくそ意味方向性恐く服部委員同じ思ね', '食料関ょ本当朝幾質疑続り食料自給率食料自給力等まざま指標現在検討ふ承知りけどカロリーベース生産額ベース加飼料除くカロリーベース等指標検討一体上ど意味少国民伝わっく必要じゃふ思っ', '要求確定段階減く本当我国農業食料重要政策くり上げくけ']","['大臣法律施行りけど食料概念り大く加る三八％六二％輸入わけね今現状考農地山外国人土地取得関規制強化すべ考ょ', '国民皆ああ行け食料大丈夫思る食料・農業・農村基本計画ゃけ', '最後りけどこっ幅広農林水産施策く円滑的確推進くけそ大切時期来わけまウクライナ危機背景食料強化食料・農業・農村基本法改正新形農政動くょ']"
8,66,8_けく新興国含めろ意味ぞ国自国通貨っぱりざる得_先議論話ろ思逆ぜそこわる_訓練内容問題調べる思けどぜこけけっ一回大臣決意聞思隠ぺ云々情報くぜこ起即座上層部伝わ体質ど_許武器使場合み自分勝手判断けけよこふ強派遣員皆大変御苦労こふ思わけ実体論辺どふ考ょ,"['けく新興国含めろ意味ぞ国自国通貨っぱりざる得', '先議論話ろ思逆ぜそこわる', '訓練内容問題調べる思けどぜこけけっ一回大臣決意聞思隠ぺ云々情報くぜこ起即座上層部伝わ体質ど', '許武器使場合み自分勝手判断けけよこふ強派遣員皆大変御苦労こふ思わけ実体論辺どふ考ょ', '答一じゃ思業務中身少海上担っ', '要っゃるり日本第一日米同盟程度ろろ要求応けけど微妙間り方一番大事ふ思っり', '日本国柄本当る一番ふわっり考こわる海外武力行使く道すど総理自身一一実態くりくっそ印象得る', '戦後二十年三十年っろわけちくちゃけ一方食料外国偏っっるわ考絶対成り立', '逆言ど中途半端言方めるべふ自身思っり', '逆言二重三重歯どめっりけ逆皆安心国会承認得り行っく政治的成り立議論るじゃふ思っよ']","['こっち住上設定けぬ言わけりまこっ最低安全高度以下飛行許可手続ど', '幹部候補み人対象み言わわけ議論聞り最初話まけど同じじゃ', 'ちろ員政治的中立性守っけりまけど員ど員け生活わけま日ごろろ会合出在り方理解示す様々国民皆触合わゃけあ云々規制掛ける関到底認めふ考']"
